gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
5,4.92,-0.08,664661733.887
10,3.88,-0.03,664661733.864
15,2.15,0.00,664661734.002
20,2.27,0.21,664661734.018
25,2.31,0.02,664661733.996
30,2.65,0.16,664661734.029
35,2.67,-0.02,664661734.011
40,2.64,-0.01,664661734.068
45,2.65,0.20,664661734.139
50,2.99,0.05,664661734.094
55,133.57,130.41,664661734.202
60,134.21,131.46,664661734.287
65,129.08,126.75,664661734.33
70,127.99,124.94,664661734.255
75,119.12,116.75,664661734.478
80,117.22,114.81,664661734.514
85,104.11,100.81,664661734.488
90,93.71,90.22,664661734.665
95,98.87,96.29,664661734.856
100,93.65,90.76,664661734.94
105,96.99,94.10,664661734.936
110,92.07,89.44,664661735.088
115,86.36,84.25,664661735.135
120,82.85,80.03,664661735.244
125,73.42,69.35,664661735.209
130,72.26,69.15,664661735.284
135,68.46,65.89,664661735.456
140,61.58,59.08,664661735.469
145,56.77,53.37,664661735.581
150,52.01,49.35,664661735.752
155,47.35,44.67,664661735.815
160,42.56,37.81,664661735.491
165,39.13,35.71,664661735.943
170,33.85,31.06,664661735.998
175,29.27,25.55,664661736.16
180,22.27,19.34,664661736.132
185,17.08,15.09,664661736.316
190,11.67,8.91,664661736.354
195,7.42,4.52,664661736.5
