gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
5,2.99,-0.17,665055498.831
10,1.99,-0.03,665055498.981
15,2.66,0.00,665055499.043
20,2.11,-0.08,665055498.977
25,1.72,-0.05,665055499.019
30,4.60,0.54,665055499.017
35,3.48,-0.02,665055499.069
40,3.02,-0.05,665055498.993
45,3.89,0.00,665055499.091
50,5.46,2.33,665055499.067
55,22.36,20.05,665055499.127
60,15.21,12.22,665055499.168
65,12.94,7.23,665055499.215
70,7.16,4.85,665055499.234
75,3.47,0.51,665055499.322
80,2.76,0.19,665055499.317
85,3.71,0.30,665055499.433
90,2.58,0.03,665055499.403
95,3.42,0.22,665055499.458
100,3.86,0.09,665055499.522
105,3.64,0.33,665055499.566
110,3.37,0.01,665055499.589
115,3.23,-0.02,665055499.63
120,2.60,0.03,665055499.731
125,12.77,10.40,665055499.798
130,22.77,19.07,665055499.839
135,18.23,15.41,665055499.839
140,13.21,10.42,665055499.983
145,7.70,5.48,665055499.956
150,3.29,0.72,665055500.083
155,3.00,0.26,665055500.19
160,3.93,0.40,665055500.24
165,2.62,-0.07,665055500.202
170,2.71,-0.03,665055500.333
175,3.19,0.45,665055500.459
180,2.31,0.11,665055500.489
185,3.36,-0.06,665055500.497
190,3.54,-0.02,665055500.621
195,2.38,0.02,665055500.763
200,10.75,7.08,665055500.813
205,24.04,20.98,665055500.877
210,18.39,13.64,665055500.924
