gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
5,2.58,-0.16,664445501.879
10,3.00,0.21,664445502.037
15,2.01,-0.02,664445502.05
20,1.97,0.04,664445502.116
25,2.59,0.30,664445502.129
30,1.79,0.07,664445502.128
35,2.32,0.32,664445502.157
40,2.35,0.10,664445502.116
45,2.43,0.04,664445502.138
50,24.66,21.79,664445502.133
55,45.10,42.79,664445502.204
60,41.98,39.61,664445502.216
65,36.87,34.45,664445502.308
70,31.79,29.76,664445502.316
75,26.69,24.38,664445502.431
80,23.39,16.32,664445502.422
85,16.61,14.32,664445502.505
90,11.96,9.69,664445502.532
95,6.40,3.94,664445502.569
100,3.76,0.32,664445502.578
105,2.64,0.16,664445502.693
110,2.77,0.03,664445502.683
115,2.42,0.04,664445502.767
120,2.91,0.28,664445502.812
125,2.45,0.19,664445502.888
130,2.27,0.07,664445502.94
135,2.56,0.04,664445502.951
